PMID,GSE_ID,Title,Experiment Type,Summary,Organism,Overall Design
30530648,200116672,In vivo molecular signatures of severe dengue infection revealed by viscRNA-Seq,Expression profiling by high throughput sequencing,"Dengue virus infection can result in severe symptoms including shock and hemorrhage, but an understanding of the molecular correlates of disease severity is lacking. Bulk transcriptomics on blood samples are difficult to interpret because the blood is composed of different cell types that may react differently to virus infection. Dengue virus RNA can be detected in human plasma, however identifying the cells carrying dengue virus through the bloodstream in vivo has proven challenging. Here we used our recently developed viscRNA-Seq approach to profile transcriptomes of thousands of single blood peripheral mononuclear cells from 6 human subjects with dengue fever and severe dengue, as well as to characterize the cell types associated with dengue virus in the human blood. We found that although no bulk transcriptome marker for severe dengue exists, the expression of MX2 in naive B cells, of CD163 in CD14+/CD16+ monocytes and of other genes in specific cell types is highly predictive for severe dengue. We detected virus-associated cells in the blood of two severe dengue patients with high viral load and discovered the majority of these to be B cells expressing germline IgM or IgD immunoglobulin chains and naive markers but also showing signs of activation and expression of CD69, CXCR4, and other surface receptors. In bystander B cells we detected signs of strong immune activation, parallel hypersomatic evolution and, in one severe degue subject, an anomalously large clone of highly mutated, IgG1 plasmablasts that could be reactive to dengue virus. This study presents a high-resolution molecular exploration into dengue virus infection in humans and can be generalized to any RNA virus.",Homo sapiens,N/A
31820734,200116672,In vivo molecular signatures of severe dengue infection revealed by viscRNA-Seq,Expression profiling by high throughput sequencing,"Dengue virus infection can result in severe symptoms including shock and hemorrhage, but an understanding of the molecular correlates of disease severity is lacking. Bulk transcriptomics on blood samples are difficult to interpret because the blood is composed of different cell types that may react differently to virus infection. Dengue virus RNA can be detected in human plasma, however identifying the cells carrying dengue virus through the bloodstream in vivo has proven challenging. Here we used our recently developed viscRNA-Seq approach to profile transcriptomes of thousands of single blood peripheral mononuclear cells from 6 human subjects with dengue fever and severe dengue, as well as to characterize the cell types associated with dengue virus in the human blood. We found that although no bulk transcriptome marker for severe dengue exists, the expression of MX2 in naive B cells, of CD163 in CD14+/CD16+ monocytes and of other genes in specific cell types is highly predictive for severe dengue. We detected virus-associated cells in the blood of two severe dengue patients with high viral load and discovered the majority of these to be B cells expressing germline IgM or IgD immunoglobulin chains and naive markers but also showing signs of activation and expression of CD69, CXCR4, and other surface receptors. In bystander B cells we detected signs of strong immune activation, parallel hypersomatic evolution and, in one severe degue subject, an anomalously large clone of highly mutated, IgG1 plasmablasts that could be reactive to dengue virus. This study presents a high-resolution molecular exploration into dengue virus infection in humans and can be generalized to any RNA virus.",Homo sapiens,N/A
31018141,200127893,"The major risk factors for Alzheimer’s disease: Age, Sex and Genes, modulate the microglia response to Aβ plaques",Expression profiling by high throughput sequencing,This SuperSeries is composed of the SubSeries listed below.,Mus musculus,N/A
31018141,200127892,"The major risk factors for Alzheimer’s disease: Age, Sex and Genes, modulate the microglia response to Aβ plaques (KW)",Expression profiling by high throughput sequencing,"Microglia are involved in Alzheimer’s disease (AD) by adopting activated phenotypes. How ageing in the absence or presence of β-amyloid (Aβ) deposition in different brain areas affects this response and whether sex and AD risk genes are involved, remains however largely unknown. Here we analyzed the gene expression profiles of more than 10,000 individual microglia cells isolated from cortex and hippocampus of male and female AppNL-G-F at 4 different stages of Aβ deposition and in age-matched control mice. We demonstrate that microglia adopt two major activated states during normal aging and after exposure to amyloid plaques. One of the responses (activated response microglia, ARM) is enhanced in particular by amyloid plaques and is strongly enriched with AD risk genes. The ARM response is not homogeneous, as subgroups of microglia overexpressing MHC type II and tissue repair genes (Dkk2, Gpnmb, Spp1) are induced upon prolonged Aβ exposure. Microglia in female mice advance faster in the activation trajectories. Similar activated states were also found in a second AD model and in human brain. We demonstrate that abolishing the expression of Apoe, the major genetic risk factor for AD, impairs the establishment of ARMs, while the second microglia response type, enriched for interferon response genes, remains unaffected. Our data indicate that ARMs are the converging point of multiple AD risk factors.",Mus musculus,N/A
31018141,200127884,"The major risk factors for Alzheimer’s disease: Age, Sex and Genes, modulate the microglia response to Aβ plaques (CDEP)",Expression profiling by high throughput sequencing,"Microglia are involved in Alzheimer’s disease (AD) by adopting activated phenotypes. How ageing in the absence or presence of β-amyloid (Aβ) deposition in different brain areas affects this response and whether sex and AD risk genes are involved, remains however largely unknown. Here we analyzed the gene expression profiles of more than 10,000 individual microglia cells isolated from cortex and hippocampus of male and female AppNL-G-F at 4 different stages of Aβ deposition and in age-matched control mice. We demonstrate that microglia adopt two major activated states during normal aging and after exposure to amyloid plaques. One of the responses (activated response microglia, ARM) is enhanced in particular by amyloid plaques and is strongly enriched with AD risk genes. The ARM response is not homogeneous, as subgroups of microglia overexpressing MHC type II and tissue repair genes (Dkk2, Gpnmb, Spp1) are induced upon prolonged Aβ exposure. Microglia in female mice advance faster in the activation trajectories. Similar activated states were also found in a second AD model and in human brain. We demonstrate that abolishing the expression of Apoe, the major genetic risk factor for AD, impairs the establishment of ARMs, while the second microglia response type, enriched for interferon response genes, remains unaffected. Our data indicate that ARMs are the converging point of multiple AD risk factors.",Mus musculus,N/A
38539015,200216999,Xenografted human microglia display diverse transcriptomic states in response to Alzheimer’s disease-related Aβ pathology,Expression profiling by high throughput sequencing,"Microglia are central players in Alzheimer’s Disease (AD) pathology, but analyzing microglia states in human brain samples is challenging due to genetic diversity, postmortem delay and admixture of pathologies. To circumvent these issues, here we generated 138,577 single cell expression profiles of human stem cell-derived microglia xenotransplanted in the brain of the AppNL-G-F model of amyloid pathology and wild type controls. Xenografted human microglia adopt a disease-associated (DAM) profile similar to that seen in mouse microglia, but display a more pronounced HLA state, likely related to antigen presentation in response to amyloid plaques. The human microglial response also involves a pro-inflammatory cytokine/chemokine CRM response to oligomeric Aβo. Genetic deletion of TREM2 or APOE, as well as APOE polymorphisms and TREM2R47H expression in the transplanted microglia modulate these responses differentially. The expression of other AD risk genes is differentially regulated across the distinct cell states elicited in response to amyloid pathology. Thus, we have identified multiple transcriptomic cell states adopted by human microglia in response to AD-related pathology, which should be taken into account in translational studies.",Homo sapiens,N/A
38539015,200137444,Stem cell derived human microglia transplanted in mouse brain to study human disease,Expression profiling by high throughput sequencing,"While genetics highlight the role of microglia in Alzheimer’s disease (AD), one third of putative AD-risk genes lack adequate mouse orthologs. Here, we successfully engraft human microglia derived from embryonic stem cells in the mouse brain. The cells recapitulate transcriptionally human primary microglia ex vivo and show expression of human specific AD-risk genes. Oligomeric Amyloid-β induces a divergent response in human vs. mouse microglia. This model can be used to study the role of microglia in neurological diseases.",Homo sapiens; Mus musculus,N/A
38539015,200127893,"The major risk factors for Alzheimer’s disease: Age, Sex and Genes, modulate the microglia response to Aβ plaques",Expression profiling by high throughput sequencing,This SuperSeries is composed of the SubSeries listed below.,Mus musculus,N/A
38539015,200127892,"The major risk factors for Alzheimer’s disease: Age, Sex and Genes, modulate the microglia response to Aβ plaques (KW)",Expression profiling by high throughput sequencing,"Microglia are involved in Alzheimer’s disease (AD) by adopting activated phenotypes. How ageing in the absence or presence of β-amyloid (Aβ) deposition in different brain areas affects this response and whether sex and AD risk genes are involved, remains however largely unknown. Here we analyzed the gene expression profiles of more than 10,000 individual microglia cells isolated from cortex and hippocampus of male and female AppNL-G-F at 4 different stages of Aβ deposition and in age-matched control mice. We demonstrate that microglia adopt two major activated states during normal aging and after exposure to amyloid plaques. One of the responses (activated response microglia, ARM) is enhanced in particular by amyloid plaques and is strongly enriched with AD risk genes. The ARM response is not homogeneous, as subgroups of microglia overexpressing MHC type II and tissue repair genes (Dkk2, Gpnmb, Spp1) are induced upon prolonged Aβ exposure. Microglia in female mice advance faster in the activation trajectories. Similar activated states were also found in a second AD model and in human brain. We demonstrate that abolishing the expression of Apoe, the major genetic risk factor for AD, impairs the establishment of ARMs, while the second microglia response type, enriched for interferon response genes, remains unaffected. Our data indicate that ARMs are the converging point of multiple AD risk factors.",Mus musculus,N/A
38539015,200127884,"The major risk factors for Alzheimer’s disease: Age, Sex and Genes, modulate the microglia response to Aβ plaques (CDEP)",Expression profiling by high throughput sequencing,"Microglia are involved in Alzheimer’s disease (AD) by adopting activated phenotypes. How ageing in the absence or presence of β-amyloid (Aβ) deposition in different brain areas affects this response and whether sex and AD risk genes are involved, remains however largely unknown. Here we analyzed the gene expression profiles of more than 10,000 individual microglia cells isolated from cortex and hippocampus of male and female AppNL-G-F at 4 different stages of Aβ deposition and in age-matched control mice. We demonstrate that microglia adopt two major activated states during normal aging and after exposure to amyloid plaques. One of the responses (activated response microglia, ARM) is enhanced in particular by amyloid plaques and is strongly enriched with AD risk genes. The ARM response is not homogeneous, as subgroups of microglia overexpressing MHC type II and tissue repair genes (Dkk2, Gpnmb, Spp1) are induced upon prolonged Aβ exposure. Microglia in female mice advance faster in the activation trajectories. Similar activated states were also found in a second AD model and in human brain. We demonstrate that abolishing the expression of Apoe, the major genetic risk factor for AD, impairs the establishment of ARMs, while the second microglia response type, enriched for interferon response genes, remains unaffected. Our data indicate that ARMs are the converging point of multiple AD risk factors.",Mus musculus,N/A
33763704,200165870,Bulk RNA-seq of aplastic anemia (AA) and healthy donors,Expression profiling by high throughput sequencing,Bulk RNA-seq data of Lin-CD34+ hematopoietic stem and progenitor cells derived from bone marrow of healthy donors and untreated aplastic anemia patients,Homo sapiens,N/A
33763704,200145669,Transcriptome analysis of HSPCs and T cells from aplastic anemia (AA) and healthy donors,Expression profiling by high throughput sequencing,This SuperSeries is composed of the SubSeries listed below.,Homo sapiens,N/A
33763704,200145668,Single cell transcriptome from aplastic anemia (AA) and healthy donors [3' RNA-seq],Expression profiling by high throughput sequencing,Transcriptome analysis of hematopoietic stem and progenitor cells (HSPCs) and T cells collected from bone marrow and peripheral blood of healthy donors and aplastic anemia patients untreated or response to immunosuppressive therapy.,Homo sapiens,N/A
33763704,200145531,Single cell transcriptome from aplastic anemia (AA) and healthy donors [Full-length RNA-seq],Expression profiling by high throughput sequencing,Transcriptome analysis of hematopoietic stem and progenitor cells (HSPCs) from aplastic anemia (AA) and healthy donors,Homo sapiens,N/A
32572264,200146026,single cell RNA-seq analysis of ovarian cancer ascites,Expression profiling by high throughput sequencing,"To understand the cellular diversity within malignant ascites, we profiled ~11,000 single cells from 22 samples by Smartseq2 and by 10x.",Homo sapiens,N/A
31002671,200118723,Discovery and characterization of variance QTLs in human induced pluripotent stem cells,Expression profiling by high throughput sequencing; Other,"Quantification of gene expression levels at the single cell level has revealed that gene expression can vary substantially even across a population of homogeneous cells. However, it is currently unclear what genomic features control variation in gene expression levels, and whether common genetic variants may impact gene expression variation. Here, we take a genome-wide approach to identify expression variance quantitative trait loci (vQTLs). To this end, we generated single cell RNA-seq (scRNA-seq) data from induced pluripotent stem cells (iPSCs) derived from 53 Yoruba individuals. We collected data for a median of 95 cells per individual and a total of 5,447 single cells, and identified 241 mean expression QTLs (eQTLs) at 10% FDR, of which 82% replicate in bulk RNA-seq data from the same individuals. We further identified 14 vQTLs at 10% FDR, but demonstrate that these can also be explained as effects on mean expression. Our study suggests that dispersion QTLs (dQTLs), which could alter the variance of expression independently of the mean, have systematically smaller effect sizes than eQTLs. We estimate that at least 300 cells per individual and 400 individuals would be required to have modest power to detect the strongest dQTLs in iPSCs. These results will guide the design of future studies on understanding the genetic control of gene expression variance.",Homo sapiens,N/A
33309739,200146264,Single cell RNA-seq of psoriatic skin identifies pathogenic Tc17 subsets and reveals distinctions between CD8+ T cells in autoimmunity and cancer,Expression profiling by high throughput sequencing,"Psoriasis is an inflammatory, IL-17-driven skin disease in which autoantigen-induced CD8+ T cells have been identified as pathogenic drivers. In this study, we used single-cell RNA-seq to identify 11 transcriptionally diverse CD8+ T cell subsets in psoriatic and healthy skin. Among several inflammatory subsets enriched in psoriatic skin, we observed two Tc17 subsets that were metabolically divergent, developmentally related, and expressed CXCL13, which we found to be a biomarker of psoriasis severity. Despite high co-inhibitory receptor expression in the Tc17 clusters, a comparison of these cells with melanoma-infiltrating CD8+ T cells revealed upregulated cytokine, cytolytic, and metabolic transcriptional activity in the psoriatic cells that differed from an exhaustion program. Our findings provide a high-resolution view of cutaneous CD8+ T cells in psoriasis and healthy skin and shed light on their functional distinctions within the chronic pathologies of autoimmunity and cancer.",Homo sapiens,N/A
21057496,200023694,Analysis and design of RNA sequencing experiments for identifying mRNA isoform regulation,Expression profiling by high throughput sequencing; Other,"Through alternative splicing, most human genes express multiple isoforms that may have distinct or even antagonistic functions. To infer isoform regulation based on data from high-throughput sequencing of cDNA fragments (RNA-Seq), we have developed MISO, a computational model that estimates the expression level of alternatively spliced exons and mRNA isoforms and provides intuitive measures of conﬁdence in these estimates. Incorporation of the length distribution of inserted cDNA fragments in paired-end RNA-Seq analysis in MISO enables dramatic improvements in estimation of alternative splicing levels relative to previous methods. We show that one lane of paired-end RNA-Seq data can provide far more information about splicing than two lanes of single-end data, depending critically on properties of the distribution of cDNA fragment lengths in the sequenced library. MISO also leads to an intuitive method to detect diﬀerentially regulated exons or isoforms. Application of this method implicates the RNA splicing factor hnRNP H in regulation of alternative cleavage and polyadenylation, a role that is supported by UV crosslinking/immunoprecipitation/high-throughput sequencing (CLIP-Seq) analysis. Together, our results provide a probabilistic framework for RNA-Seq analysis, derive functional insights into pre-mRNA processing, and yield guidelines for the optimal design of RNA-Seq experiments for studies of gene and isoform expression.",Mus musculus; Homo sapiens,N/A
27716510,200076381,"Single Cell RNA-seq Study of Midbrain and Dopaminergic Neuron Development in Mouse, Human, and Stem Cells",Expression profiling by high throughput sequencing,"In order to get a better molecular understanding of human midbrain development, this study defines cell types of the ventral midbrain in both human and mouse as well as stem cell-derived dopaminergic neuron preparations, and reveals the temporal dynamics of key lineages across development and the adult.",Homo sapiens; Mus musculus,N/A
34059805,200157145,Transcriptional and imprinting complexity in Arabidopsis seeds at single-nucleus resolution,Expression profiling by high throughput sequencing,"Seeds are the basis of agriculture, yet their full transcriptional complexity has remained unknown. Here, we employ single-nucleus RNA-sequencing to characterize developing Arabidopsis thaliana seeds, with a focus on endosperm. Endosperm, the site of gene imprinting in plants, mediates the relationship between the maternal parent and embryo. We identify new cell types in the chalazal endosperm region, which interfaces with maternal tissue for nutrient unloading. We further demonstrate that the extent of parental bias of maternally expressed imprinted genes varies with cell cycle phase, and that imprinting of paternally expressed imprinted genes is strongest in chalazal endosperm. These data indicate imprinting in endosperm is heterogeneous and suggest that parental conflict, which is proposed to drive the evolution of imprinting, is fiercest at the boundary between filial and maternal tissues.",Arabidopsis thaliana,N/A
34941412,200142259,Cellular trajectory analysis links tissue maturation to cellular specialization in the plant meristem [protophloem sieve element cells],Expression profiling by high throughput sequencing,"The mechanisms that allow cells in the plant meristem to coordinate tissue-wide maturation gradients with specialized cell networks are critical for indeterminate growth. Here, we combine long-term imaging, single-cell transcriptomics, genetic analysis, and network modeling to reconstruct the differentiation trajectory of the 20 protophloem cells in the Arabidopsis root. We found that lineage bifurcation and cellular specification are mediated near the stem cell niche by PEAR regulators. However, many PEAR downstream effects are repressed by a broad gradient of PLETHORA transcription factors, which directly inhibit PEARs’ own direct target APL until dissipating seven cells from the stem cell niche. Modeling and molecular epistasis suggest a so-called “seesaw” cascade of sharp transitions in which transcription factors regulating consecutive steps mutually inhibit each other’s targets, ending in programmed enucleation. This analysis provides a mechanistic understanding of how morphogen-like maturation gradients interface with cell-type specific transcriptional regulators to stage cellular differentiation",Arabidopsis thaliana,N/A
34941412,200140977,Cellular trajectory analysis links tissue maturation to cellular specialization in the plant meristem II,Expression profiling by high throughput sequencing,"The mechanisms that allow cells in the plant meristem to coordinate tissue-wide maturation gradients with specialized cell networks are critical for indeterminate growth. Here, we combine long-term imaging, single-cell transcriptomics, genetic analysis, and network modeling to reconstruct the differentiation trajectory of the 20 protophloem cells in the Arabidopsis root. We found that lineage bifurcation and cellular specification are mediated near the stem cell niche by PEAR regulators. However, many PEAR downstream effects are repressed by a broad gradient of PLETHORA transcription factors, which directly inhibit PEARs’ own direct target APL until dissipating seven cells from the stem cell niche. Modeling and molecular epistasis suggest a so-called “seesaw” cascade of sharp transitions in which transcription factors regulating consecutive steps mutually inhibit each other’s targets, ending in programmed enucleation. This analysis provides a mechanistic understanding of how morphogen-like maturation gradients interface with cell-type specific transcriptional regulators to stage cellular differentiation",Arabidopsis thaliana,N/A
34941412,200140778,Cellular trajectory analysis links tissue maturation to cellular specialization in the plant meristem,Expression profiling by high throughput sequencing,"The mechanisms that allow cells in the plant meristem to coordinate tissue-wide maturation gradients with specialized cell networks are critical for indeterminate growth. Here, we combine long-term imaging, single-cell transcriptomics, genetic analysis, and network modeling to reconstruct the differentiation trajectory of the 20 protophloem cells in the Arabidopsis root. We found that lineage bifurcation and cellular specification are mediated near the stem cell niche by PEAR regulators. However, many PEAR downstream effects are repressed by a broad gradient of PLETHORA transcription factors, which directly inhibit PEARs’ own direct target APL until dissipating seven cells from the stem cell niche. Modeling and molecular epistasis suggest a so-called “seesaw” cascade of sharp transitions in which transcription factors regulating consecutive steps mutually inhibit each other’s targets, ending in programmed enucleation. This analysis provides a mechanistic understanding of how morphogen-like maturation gradients interface with cell-type specific transcriptional regulators to stage cellular differentiation",blank sample; Arabidopsis thaliana,N/A
33879573,200157027,RNA-seq of Arabidopsis thaliana seedlings exposed to different communities of commensal bacteria [SSC],Expression profiling by high throughput sequencing,This study evaluates the transcriptome of Arabidopsis thaliana seedlings exposed to communities of suppressors (SynCom5-S1) and non-suppressors (SynCom5-NS1) of the plant immune system,Arabidopsis thaliana,N/A
33879573,200156426,RNA-seq of Arabidopsis thaliana roots exposed to the MAMP flg22 in the presence of commensal bacteria,Expression profiling by high throughput sequencing,This SuperSeries is composed of the SubSeries listed below.,Arabidopsis thaliana,N/A
33879573,200156425,RNA-seq of Arabidopsis thaliana roots exposed to the MAMP flg22 in the presence of a community of commensal bacteria [RST],Expression profiling by high throughput sequencing,This study evaluates the transcriptome of Arabidopsis thaliana roots exposed to the MAMP flg22 in the presence of a 35-member bacterial SynCom,Arabidopsis thaliana,N/A
33879573,200156424,RNA-seq of Arabidopsis thaliana seedlings exposed to the MAMP flg22 in the presence of individual commensal bacteria [MAE],Expression profiling by high throughput sequencing,This study evaluates the transcriptome of Arabidopsis thaliana seedlings exposed to the MAMP flg22 in the presence of 35 different bacteria,Arabidopsis thaliana,N/A
35440059,200080744,Epigenomic and genome structural diversity in a worldwide collection of Arabidopsis thaliana,Expression profiling by high throughput sequencing,"Epigenetic variation can impact gene transcription and may play roles in phenotypic diversity and adaptation. Here we report 1,107 high quality single-base resolution methylomes, and 1,210 transcriptomes from the 1001 Arabidopsis Genomes population. Analyses reveal strong effects of geographic origin on average DNA methylation levels, alterations of gene expression by epialleles and a highly complex genetic basis for DNA methylation. Physical genome maps for nine of the most diverse accessions revealed how transposable elements and other structural variations shaped the epigenome to allow rapid adaptation to environmental changes, with strong emphasis on disease resistance. Analysis of the cistromes and epicistromes in these accessions revealed a significant association between both methylation and nucleotide variation and the conservation of transcription factor binding sites. The Arabidopsis thaliana 1001 Epigenomes Project now provides a comprehensive resource to help further understand how epigenetic variation contributes to both molecular and phenotypes in natural populations of the most widely studied reference plant.",Arabidopsis thaliana,N/A
33879573,200157027,RNA-seq of Arabidopsis thaliana seedlings exposed to different communities of commensal bacteria [SSC],Expression profiling by high throughput sequencing,This study evaluates the transcriptome of Arabidopsis thaliana seedlings exposed to communities of suppressors (SynCom5-S1) and non-suppressors (SynCom5-NS1) of the plant immune system,Arabidopsis thaliana,N/A
33879573,200156426,RNA-seq of Arabidopsis thaliana roots exposed to the MAMP flg22 in the presence of commensal bacteria,Expression profiling by high throughput sequencing,This SuperSeries is composed of the SubSeries listed below.,Arabidopsis thaliana,N/A
33879573,200156425,RNA-seq of Arabidopsis thaliana roots exposed to the MAMP flg22 in the presence of a community of commensal bacteria [RST],Expression profiling by high throughput sequencing,This study evaluates the transcriptome of Arabidopsis thaliana roots exposed to the MAMP flg22 in the presence of a 35-member bacterial SynCom,Arabidopsis thaliana,N/A
33879573,200156424,RNA-seq of Arabidopsis thaliana seedlings exposed to the MAMP flg22 in the presence of individual commensal bacteria [MAE],Expression profiling by high throughput sequencing,This study evaluates the transcriptome of Arabidopsis thaliana seedlings exposed to the MAMP flg22 in the presence of 35 different bacteria,Arabidopsis thaliana,N/A
29462153,200102248,RNA-seq of Arabidopsis thaliana seedlings growing in the presence of a bacterial synthetic community under full and low phosphate conditions,Expression profiling by high throughput sequencing,This study evaluates the transcriptome of Arabidopsis thaliana seedlings growing in the presence of a diversity of synthetic bacteria communities under different phosphate availability.,Arabidopsis thaliana,N/A
